entry_ts_utc,exit_ts_utc,entry_ts_ms,exit_ts_ms,side,book_idx,tag,entry_price,exit_price,qty,realized_pnl,return_units,fees,exit_reason,max_hold_bars,stop_offset,target_offset
2026-04-15T12:00:00+00:00,2026-04-15T18:00:00+00:00,1776254400000,1776276000000,SHORT,1,k7_b1,2335.04,2347.57,0.01,-0.151054355000002,-0.006469026440660631,0.025754355000000003,max_hold,,,
2026-04-15T08:00:00+00:00,2026-04-15T19:00:00+00:00,1776240000000,1776279600000,LONG,6,k7_b6,2316.68,2377.33,0.01,0.580682945000001,0.02506530660255197,0.025817055,target,,,
2026-04-15T11:00:00+00:00,2026-04-15T19:00:00+00:00,1776250800000,1776279600000,LONG,5,k7_b5,2316.88,2377.54,0.01,0.5807806899999985,0.02506736171057623,0.025819310000000005,target,,,
2026-04-15T13:00:00+00:00,2026-04-15T19:00:00+00:00,1776258000000,1776279600000,SHORT,2,k7_b2,2330.48,2357.12,0.01,-0.29218179999999877,-0.0125374086025196,0.0257818,max_hold,,,
2026-04-15T14:00:00+00:00,2026-04-16T02:00:00+00:00,1776261600000,1776304800000,LONG,5,k7_b5,2326.89,2350.86,0.01,0.21397237500000255,0.009195637739644012,0.025727625000000004,max_hold,,,
2026-04-15T15:00:00+00:00,2026-04-16T03:00:00+00:00,1776265200000,1776308400000,LONG,5,k7_b5,2338.41,2355.49,0.01,0.1449835499999993,0.006200091087533807,0.02581645,max_hold,,,
2026-04-15T16:00:00+00:00,2026-04-16T04:00:00+00:00,1776268800000,1776312000000,LONG,5,k7_b5,2331.77,2356.51,0.01,0.22161446000000237,0.00950413033875564,0.025785540000000003,max_hold,,,
2026-04-15T17:00:00+00:00,2026-04-16T05:00:00+00:00,1776272400000,1776315600000,LONG,6,k7_b6,2341.6,2352.72,0.01,0.08538123999999891,0.0036462777587973573,0.02581876,max_hold,,,
2026-04-15T18:00:00+00:00,2026-04-16T06:00:00+00:00,1776276000000,1776319200000,LONG,7,k7_b7,2348.75,2355.72,0.01,0.043825414999998,0.001865903778605556,0.025874585,max_hold,,,
2026-04-16T07:00:00+00:00,2026-04-16T10:00:00+00:00,1776322800000,1776333600000,SHORT,1,k7_b1,2353.38,2329.85,0.01,0.20954223500000202,0.00890388441305705,0.025757765000000002,target,,,
